state,district,crop,gross_cropped_area_ha,irrigated_pct
Madhya Pradesh,Gwalior,Cotton,15249.6,81.7
Karnataka,Shimoga,Potato,43306.91,69.5
Gujarat,Ahmedabad,Tomato,15322.07,83.2
Haryana,Hisar,Apple,30323.74,78.6
Rajasthan,Udaipur,Grapes,36084.72,54.9
Goa,Verna,Onion,13504.37,57.7
Tamil Nadu,Tirupur,Soybean,26826.78,42.6
Maharashtra,Nashik,Rice,34954.28,91.8
Punjab,Amritsar,Maize,18927.55,45.0
Uttar Pradesh,Kanpur,Wheat,27990.68,66.3
Madhya Pradesh,Gwalior,Cotton,19579.17,66.6
Karnataka,Shimoga,Potato,2767.85,67.2
Gujarat,Ahmedabad,Tomato,43605.28,41.9
Haryana,Hisar,Apple,9875.14,47.7
Rajasthan,Udaipur,Grapes,19196.07,65.1
Goa,Verna,Onion,40534.37,72.1
Tamil Nadu,Tirupur,Soybean,44141.48,34.7
Maharashtra,Nashik,Rice,12984.1,48.1
Punjab,Amritsar,Maize,10401.44,68.2
Uttar Pradesh,Kanpur,Wheat,26927.02,76.9
Madhya Pradesh,Gwalior,Cotton,37532.45,82.3
Karnataka,Shimoga,Potato,35690.65,50.5
Gujarat,Ahmedabad,Tomato,17893.19,91.6
Haryana,Hisar,Apple,36064.32,31.5
Rajasthan,Udaipur,Grapes,48565.87,51.1
Goa,Verna,Onion,2239.06,91.7
Tamil Nadu,Tirupur,Soybean,36514.49,81.8
Maharashtra,Nashik,Rice,18101.93,54.4
Punjab,Amritsar,Maize,10765.92,77.3
Uttar Pradesh,Kanpur,Wheat,41504.99,47.5
Madhya Pradesh,Gwalior,Cotton,28141.07,56.0
Karnataka,Shimoga,Potato,40676.89,63.6
Gujarat,Ahmedabad,Tomato,21162.83,40.3
Haryana,Hisar,Apple,18064.43,70.6
Rajasthan,Udaipur,Grapes,18205.4,74.9
Goa,Verna,Onion,22109.95,79.5
Tamil Nadu,Tirupur,Soybean,1914.99,55.4
Maharashtra,Nashik,Rice,11307.3,64.3
Punjab,Amritsar,Maize,39137.74,48.1
Uttar Pradesh,Kanpur,Wheat,24184.17,81.6
Madhya Pradesh,Gwalior,Cotton,47888.65,62.2
Karnataka,Shimoga,Potato,7949.33,38.0
Gujarat,Ahmedabad,Tomato,34194.73,94.0
Haryana,Hisar,Apple,17034.85,77.4
Rajasthan,Udaipur,Grapes,20088.38,41.2
Goa,Verna,Onion,14670.55,40.0
Tamil Nadu,Tirupur,Soybean,44415.82,54.8
Maharashtra,Nashik,Rice,8060.43,65.4
Punjab,Amritsar,Maize,4383.1,86.7
Uttar Pradesh,Kanpur,Wheat,15731.33,77.6
Madhya Pradesh,Gwalior,Cotton,10342.91,86.2
Karnataka,Shimoga,Potato,38409.92,46.7
Gujarat,Ahmedabad,Tomato,23417.22,62.2
Haryana,Hisar,Apple,12782.74,44.4
Rajasthan,Udaipur,Grapes,2358.0,52.1
Goa,Verna,Onion,11711.77,81.5
Tamil Nadu,Tirupur,Soybean,15098.91,45.1
Maharashtra,Nashik,Rice,26506.74,62.7
Punjab,Amritsar,Maize,6344.12,71.1
Uttar Pradesh,Kanpur,Wheat,22530.69,56.8
Madhya Pradesh,Gwalior,Cotton,35066.77,53.1
Karnataka,Shimoga,Potato,10425.33,89.2
Gujarat,Ahmedabad,Tomato,37981.84,55.6
Haryana,Hisar,Apple,40246.06,61.0
Rajasthan,Udaipur,Grapes,26522.31,62.1
Goa,Verna,Onion,24008.96,84.0
Tamil Nadu,Tirupur,Soybean,6322.39,62.8
Maharashtra,Nashik,Rice,29223.69,40.6
Punjab,Amritsar,Maize,17845.29,68.9
Uttar Pradesh,Kanpur,Wheat,3320.0,33.9
Madhya Pradesh,Gwalior,Cotton,23542.14,72.2
Karnataka,Shimoga,Potato,17239.94,31.1
Gujarat,Ahmedabad,Tomato,27536.94,74.2
Haryana,Hisar,Apple,8359.83,66.9
Rajasthan,Udaipur,Grapes,6222.83,73.5
Goa,Verna,Onion,32245.68,64.8
Tamil Nadu,Tirupur,Soybean,37429.47,73.2
Maharashtra,Nashik,Rice,7685.97,50.0
Punjab,Amritsar,Maize,37314.57,64.5
Uttar Pradesh,Kanpur,Wheat,19771.61,64.2
Madhya Pradesh,Gwalior,Cotton,27212.68,92.2
Karnataka,Shimoga,Potato,34534.32,38.3
Gujarat,Ahmedabad,Tomato,32143.24,56.9
Haryana,Hisar,Apple,12433.43,84.7
Rajasthan,Udaipur,Grapes,4310.86,71.4
Goa,Verna,Onion,48295.09,33.1
Tamil Nadu,Tirupur,Soybean,37422.76,54.4
Maharashtra,Nashik,Rice,20111.66,69.0
Punjab,Amritsar,Maize,8086.86,45.2
Uttar Pradesh,Kanpur,Wheat,44666.32,82.3
Madhya Pradesh,Gwalior,Cotton,14061.92,64.3
Karnataka,Shimoga,Potato,45063.29,67.9
Gujarat,Ahmedabad,Tomato,26976.7,85.1
Haryana,Hisar,Apple,43635.68,70.5
Rajasthan,Udaipur,Grapes,24409.6,66.4
Goa,Verna,Onion,30634.79,89.3
Tamil Nadu,Tirupur,Soybean,7514.85,81.3
Maharashtra,Nashik,Rice,22547.2,33.4
Punjab,Amritsar,Maize,34997.85,58.3
Uttar Pradesh,Kanpur,Wheat,49674.45,46.6
Madhya Pradesh,Gwalior,Cotton,16193.53,61.9
Karnataka,Shimoga,Potato,22418.54,60.3
Gujarat,Ahmedabad,Tomato,12028.25,60.3
Haryana,Hisar,Apple,29057.1,72.4
Rajasthan,Udaipur,Grapes,8170.44,31.8
Goa,Verna,Onion,9671.73,84.4
Tamil Nadu,Tirupur,Soybean,9497.9,80.2
Maharashtra,Nashik,Rice,12295.6,87.4
Punjab,Amritsar,Maize,1499.61,73.2
Uttar Pradesh,Kanpur,Wheat,47018.55,61.1
Madhya Pradesh,Gwalior,Cotton,11445.95,70.4
Karnataka,Shimoga,Potato,29825.59,75.8
Gujarat,Ahmedabad,Tomato,7473.07,90.2
Haryana,Hisar,Apple,17265.02,31.5
Rajasthan,Udaipur,Grapes,27843.61,91.8
Goa,Verna,Onion,37518.2,54.0
Tamil Nadu,Tirupur,Soybean,45154.38,49.8
Maharashtra,Nashik,Rice,41927.75,92.1
Punjab,Amritsar,Maize,44376.96,72.2
Uttar Pradesh,Kanpur,Wheat,42837.2,77.1
Madhya Pradesh,Gwalior,Cotton,13110.73,50.3
Karnataka,Shimoga,Potato,25019.9,82.6
Gujarat,Ahmedabad,Tomato,34177.56,64.5
Haryana,Hisar,Apple,9604.99,53.5
Rajasthan,Udaipur,Grapes,30396.29,36.1
Goa,Verna,Onion,3026.1,88.9
Tamil Nadu,Tirupur,Soybean,3359.16,51.4
Maharashtra,Nashik,Rice,38247.59,76.3
Punjab,Amritsar,Maize,41652.1,56.3
Uttar Pradesh,Kanpur,Wheat,22252.27,56.8
Madhya Pradesh,Gwalior,Cotton,18735.03,41.6
Karnataka,Shimoga,Potato,28694.31,86.6
Gujarat,Ahmedabad,Tomato,20110.65,40.9
Haryana,Hisar,Apple,14656.91,85.6
Rajasthan,Udaipur,Grapes,17208.46,74.1
Goa,Verna,Onion,30854.31,41.6
Tamil Nadu,Tirupur,Soybean,6855.27,40.2
Maharashtra,Nashik,Rice,34725.53,73.7
Punjab,Amritsar,Maize,3533.09,91.1
Uttar Pradesh,Kanpur,Wheat,14105.49,84.1
Madhya Pradesh,Gwalior,Cotton,17194.94,58.5
Karnataka,Shimoga,Potato,23639.26,83.4
Gujarat,Ahmedabad,Tomato,37369.86,50.7
Haryana,Hisar,Apple,15375.38,90.9
Rajasthan,Udaipur,Grapes,36314.35,56.2
Goa,Verna,Onion,25029.9,67.9
Tamil Nadu,Tirupur,Soybean,5382.78,82.3
Maharashtra,Nashik,Rice,25040.98,62.3
Punjab,Amritsar,Maize,30919.46,44.9
Uttar Pradesh,Kanpur,Wheat,18007.64,53.8
Madhya Pradesh,Gwalior,Cotton,9941.75,50.4
Karnataka,Shimoga,Potato,14546.07,51.1
Gujarat,Ahmedabad,Tomato,43128.94,68.2
Haryana,Hisar,Apple,24505.49,37.1
Rajasthan,Udaipur,Grapes,44302.56,35.0
Goa,Verna,Onion,27347.42,34.8
Tamil Nadu,Tirupur,Soybean,37134.36,48.3
Maharashtra,Nashik,Rice,44162.23,53.9
Punjab,Amritsar,Maize,23898.9,67.4
Uttar Pradesh,Kanpur,Wheat,39559.64,93.4
Madhya Pradesh,Gwalior,Cotton,28538.62,42.4
Karnataka,Shimoga,Potato,44500.56,89.1
Gujarat,Ahmedabad,Tomato,28543.51,71.4
Haryana,Hisar,Apple,44369.25,36.3
Rajasthan,Udaipur,Grapes,48486.36,85.8
Goa,Verna,Onion,17437.67,35.1
Tamil Nadu,Tirupur,Soybean,1789.02,89.8
Maharashtra,Nashik,Rice,17752.36,43.2
Punjab,Amritsar,Maize,38338.41,69.2
Uttar Pradesh,Kanpur,Wheat,20084.26,37.5
Madhya Pradesh,Gwalior,Cotton,13808.62,56.0
Karnataka,Shimoga,Potato,4171.75,59.9
Gujarat,Ahmedabad,Tomato,17262.72,54.1
Haryana,Hisar,Apple,27943.89,31.2
Rajasthan,Udaipur,Grapes,47438.37,48.2
Goa,Verna,Onion,10185.1,58.4
Tamil Nadu,Tirupur,Soybean,16867.73,79.9
Maharashtra,Nashik,Rice,42208.87,82.4
Punjab,Amritsar,Maize,26464.29,35.1
Uttar Pradesh,Kanpur,Wheat,19197.38,36.1
Madhya Pradesh,Gwalior,Cotton,31169.28,94.8
Karnataka,Shimoga,Potato,38414.67,94.6
Gujarat,Ahmedabad,Tomato,7010.25,79.1
Haryana,Hisar,Apple,16215.23,65.0
Rajasthan,Udaipur,Grapes,27263.44,37.2
Goa,Verna,Onion,23735.54,45.5
Tamil Nadu,Tirupur,Soybean,10064.39,65.8
Maharashtra,Nashik,Rice,27855.69,72.5
Punjab,Amritsar,Maize,13094.92,50.4
Uttar Pradesh,Kanpur,Wheat,7612.94,53.4
Madhya Pradesh,Gwalior,Cotton,20346.18,60.4
Karnataka,Shimoga,Potato,28846.14,82.5
Gujarat,Ahmedabad,Tomato,29363.21,66.1
Haryana,Hisar,Apple,15212.48,81.1
Rajasthan,Udaipur,Grapes,19662.42,70.0
Goa,Verna,Onion,27906.31,44.7
Tamil Nadu,Tirupur,Soybean,26457.79,53.8
Maharashtra,Nashik,Rice,33864.86,88.3
Punjab,Amritsar,Maize,29936.71,52.6
Uttar Pradesh,Kanpur,Wheat,27282.8,66.7
Madhya Pradesh,Gwalior,Cotton,45444.02,31.6
Karnataka,Shimoga,Potato,15868.95,73.0
Gujarat,Ahmedabad,Tomato,45675.7,81.6
Haryana,Hisar,Apple,18916.81,36.9
Rajasthan,Udaipur,Grapes,45962.49,66.6
Goa,Verna,Onion,13175.33,86.4
Tamil Nadu,Tirupur,Soybean,27462.25,71.7
Maharashtra,Nashik,Rice,39856.99,43.9
Punjab,Amritsar,Maize,8065.76,30.7
Uttar Pradesh,Kanpur,Wheat,42311.5,76.0
Madhya Pradesh,Gwalior,Cotton,41371.24,65.1
Karnataka,Shimoga,Potato,38570.81,62.5
Gujarat,Ahmedabad,Tomato,5680.94,56.4
Haryana,Hisar,Apple,32860.75,52.8
Rajasthan,Udaipur,Grapes,36383.92,69.2
Goa,Verna,Onion,17535.08,85.6
Tamil Nadu,Tirupur,Soybean,22304.16,84.0
Maharashtra,Nashik,Rice,45861.63,91.3
Punjab,Amritsar,Maize,1882.65,61.4
Uttar Pradesh,Kanpur,Wheat,3353.78,59.7
Madhya Pradesh,Gwalior,Cotton,3869.72,91.1
Karnataka,Shimoga,Potato,33317.35,66.7
Gujarat,Ahmedabad,Tomato,48450.55,39.9
Haryana,Hisar,Apple,10228.7,34.8
Rajasthan,Udaipur,Grapes,42939.21,67.4
Goa,Verna,Onion,46305.54,89.8
Tamil Nadu,Tirupur,Soybean,40660.5,36.7
Maharashtra,Nashik,Rice,4949.31,41.5
Punjab,Amritsar,Maize,21744.01,38.2
Uttar Pradesh,Kanpur,Wheat,10593.45,87.6
Madhya Pradesh,Gwalior,Cotton,13482.06,81.7
Karnataka,Shimoga,Potato,2160.47,76.3
Gujarat,Ahmedabad,Tomato,6553.03,79.9
Haryana,Hisar,Apple,9553.94,61.6
Rajasthan,Udaipur,Grapes,14592.56,82.7
Goa,Verna,Onion,11011.4,50.2
Tamil Nadu,Tirupur,Soybean,20873.51,72.5
Maharashtra,Nashik,Rice,44887.91,88.0
Punjab,Amritsar,Maize,20381.86,58.6
Uttar Pradesh,Kanpur,Wheat,10670.78,30.1
Madhya Pradesh,Gwalior,Cotton,49620.51,31.1
Karnataka,Shimoga,Potato,15498.46,46.4
Gujarat,Ahmedabad,Tomato,9537.89,38.9
Haryana,Hisar,Apple,46461.35,93.0
Rajasthan,Udaipur,Grapes,6113.36,45.9
Goa,Verna,Onion,24494.58,48.5
Tamil Nadu,Tirupur,Soybean,45680.0,93.3
Maharashtra,Nashik,Rice,4954.05,64.5
Punjab,Amritsar,Maize,39036.75,93.2
Uttar Pradesh,Kanpur,Wheat,15416.17,55.4
Madhya Pradesh,Gwalior,Cotton,9735.01,83.1
Karnataka,Shimoga,Potato,8127.1,49.3
Gujarat,Ahmedabad,Tomato,46735.81,47.4
Haryana,Hisar,Apple,6781.85,84.4
Rajasthan,Udaipur,Grapes,36141.06,32.6
Goa,Verna,Onion,42625.05,81.3
Tamil Nadu,Tirupur,Soybean,28662.36,75.8
Maharashtra,Nashik,Rice,23410.26,82.3
Punjab,Amritsar,Maize,22028.07,81.8
Uttar Pradesh,Kanpur,Wheat,21511.64,91.4
Madhya Pradesh,Gwalior,Cotton,21037.54,85.4
Karnataka,Shimoga,Potato,24577.08,74.4
Gujarat,Ahmedabad,Tomato,40743.99,56.1
Haryana,Hisar,Apple,24435.9,50.4
Rajasthan,Udaipur,Grapes,20280.31,57.7
Goa,Verna,Onion,12725.88,51.3
Tamil Nadu,Tirupur,Soybean,17832.62,45.3
Maharashtra,Nashik,Rice,41993.7,65.1
Punjab,Amritsar,Maize,33858.71,63.6
Uttar Pradesh,Kanpur,Wheat,14800.01,77.7
Madhya Pradesh,Gwalior,Cotton,47245.13,68.6
Karnataka,Shimoga,Potato,27693.13,92.5
Gujarat,Ahmedabad,Tomato,40845.6,76.6
Haryana,Hisar,Apple,37088.79,33.8
Rajasthan,Udaipur,Grapes,14366.18,32.1
Goa,Verna,Onion,18574.14,42.3
Tamil Nadu,Tirupur,Soybean,45502.39,37.6
Maharashtra,Nashik,Rice,27076.03,36.0
Punjab,Amritsar,Maize,3976.24,82.2
Uttar Pradesh,Kanpur,Wheat,7545.44,81.4
Madhya Pradesh,Gwalior,Cotton,31126.09,33.6
Karnataka,Shimoga,Potato,31491.44,61.6
Gujarat,Ahmedabad,Tomato,27307.79,68.3
Haryana,Hisar,Apple,19309.35,45.8
Rajasthan,Udaipur,Grapes,5160.79,65.2
Goa,Verna,Onion,20438.16,30.9
Tamil Nadu,Tirupur,Soybean,25034.21,85.0
Maharashtra,Nashik,Rice,45321.1,38.4
Punjab,Amritsar,Maize,21758.22,94.2
Uttar Pradesh,Kanpur,Wheat,15493.83,63.4
Madhya Pradesh,Gwalior,Cotton,43074.03,35.6
Karnataka,Shimoga,Potato,17645.51,42.8
Gujarat,Ahmedabad,Tomato,6840.24,89.3
Haryana,Hisar,Apple,36038.09,69.6
Rajasthan,Udaipur,Grapes,1155.45,37.9
Goa,Verna,Onion,48952.6,71.0
Tamil Nadu,Tirupur,Soybean,49359.95,59.3
Maharashtra,Nashik,Rice,40559.33,91.4
Punjab,Amritsar,Maize,15031.36,39.4
Uttar Pradesh,Kanpur,Wheat,5541.01,90.4
Madhya Pradesh,Gwalior,Cotton,17207.76,93.4
Karnataka,Shimoga,Potato,8080.62,78.3
Gujarat,Ahmedabad,Tomato,9487.97,87.7
Haryana,Hisar,Apple,43467.67,79.0
Rajasthan,Udaipur,Grapes,45385.96,31.0
Goa,Verna,Onion,3057.4,58.5
Tamil Nadu,Tirupur,Soybean,7723.8,36.3
Maharashtra,Nashik,Rice,39147.85,39.7
Punjab,Amritsar,Maize,27354.32,37.5
Uttar Pradesh,Kanpur,Wheat,44796.11,70.1
Madhya Pradesh,Gwalior,Cotton,35150.07,63.6
Karnataka,Shimoga,Potato,43650.39,82.3
Gujarat,Ahmedabad,Tomato,14716.42,61.0
Haryana,Hisar,Apple,31169.13,47.1
Rajasthan,Udaipur,Grapes,39675.92,88.2
Goa,Verna,Onion,1822.18,51.3
Tamil Nadu,Tirupur,Soybean,45074.5,33.4
Maharashtra,Nashik,Rice,14732.12,77.9
Punjab,Amritsar,Maize,25565.28,82.3
Uttar Pradesh,Kanpur,Wheat,39627.82,34.7
Madhya Pradesh,Gwalior,Cotton,6864.47,78.1
Karnataka,Shimoga,Potato,25553.64,42.4
Gujarat,Ahmedabad,Tomato,35025.32,51.2
Haryana,Hisar,Apple,42015.12,82.9
Rajasthan,Udaipur,Grapes,32460.54,42.3
Goa,Verna,Onion,38335.98,94.8
Tamil Nadu,Tirupur,Soybean,6647.08,44.1
Maharashtra,Nashik,Rice,17043.77,84.6
Punjab,Amritsar,Maize,45892.23,63.7
Uttar Pradesh,Kanpur,Wheat,21448.39,76.4
Madhya Pradesh,Gwalior,Cotton,2423.09,86.2
Karnataka,Shimoga,Potato,48324.92,87.6
Gujarat,Ahmedabad,Tomato,29580.45,74.2
Haryana,Hisar,Apple,22868.51,78.5
Rajasthan,Udaipur,Grapes,3090.21,80.8
Goa,Verna,Onion,22059.5,75.8
Tamil Nadu,Tirupur,Soybean,19265.13,43.8
Maharashtra,Nashik,Rice,49915.63,52.8
Punjab,Amritsar,Maize,10940.65,93.9
Uttar Pradesh,Kanpur,Wheat,20454.8,45.9
Madhya Pradesh,Gwalior,Cotton,44110.77,71.8
Karnataka,Shimoga,Potato,43526.14,61.3
Gujarat,Ahmedabad,Tomato,22507.3,65.0
Haryana,Hisar,Apple,21311.26,73.6
Rajasthan,Udaipur,Grapes,22925.28,68.2
Goa,Verna,Onion,18888.85,92.9
Tamil Nadu,Tirupur,Soybean,12513.19,59.7
Maharashtra,Nashik,Rice,40608.13,62.8
Punjab,Amritsar,Maize,47942.91,76.5
Uttar Pradesh,Kanpur,Wheat,9042.57,62.6
Madhya Pradesh,Gwalior,Cotton,45813.68,54.2
Karnataka,Shimoga,Potato,30016.71,34.8
Gujarat,Ahmedabad,Tomato,4667.39,88.0
Haryana,Hisar,Apple,23391.58,38.2
Rajasthan,Udaipur,Grapes,34319.34,91.4
Goa,Verna,Onion,41094.18,91.3
Tamil Nadu,Tirupur,Soybean,14018.15,82.9
Maharashtra,Nashik,Rice,34751.33,37.6
Punjab,Amritsar,Maize,31354.66,67.6
Uttar Pradesh,Kanpur,Wheat,13368.98,77.0
Madhya Pradesh,Gwalior,Cotton,41476.55,68.3
Karnataka,Shimoga,Potato,37969.23,51.7
Gujarat,Ahmedabad,Tomato,38887.34,48.3
Haryana,Hisar,Apple,4659.52,72.0
Rajasthan,Udaipur,Grapes,8332.29,85.5
Goa,Verna,Onion,12628.52,88.7
Tamil Nadu,Tirupur,Soybean,16937.28,48.1
Maharashtra,Nashik,Rice,13850.97,75.2
Punjab,Amritsar,Maize,11920.33,77.7
Uttar Pradesh,Kanpur,Wheat,38215.97,32.8
Madhya Pradesh,Gwalior,Cotton,13539.4,79.1
Karnataka,Shimoga,Potato,1217.45,62.0
Gujarat,Ahmedabad,Tomato,18040.58,88.1
Haryana,Hisar,Apple,9834.46,31.8
Rajasthan,Udaipur,Grapes,5473.08,39.6
Goa,Verna,Onion,35081.98,75.4
Tamil Nadu,Tirupur,Soybean,13624.96,43.2
Maharashtra,Nashik,Rice,25973.64,74.4
Punjab,Amritsar,Maize,17860.44,48.6
Uttar Pradesh,Kanpur,Wheat,40029.33,65.8
Madhya Pradesh,Gwalior,Cotton,7018.83,69.2
Karnataka,Shimoga,Potato,20823.96,78.5
Gujarat,Ahmedabad,Tomato,39416.21,50.3
Haryana,Hisar,Apple,9227.32,84.5
Rajasthan,Udaipur,Grapes,25374.21,55.1
Goa,Verna,Onion,16080.12,40.6
Tamil Nadu,Tirupur,Soybean,42123.66,51.1
Maharashtra,Nashik,Rice,47463.34,80.6
Punjab,Amritsar,Maize,7723.25,43.3
Uttar Pradesh,Kanpur,Wheat,33577.98,46.6
Madhya Pradesh,Gwalior,Cotton,2251.14,80.1
Karnataka,Shimoga,Potato,1475.28,47.5
Gujarat,Ahmedabad,Tomato,49171.74,84.2
Haryana,Hisar,Apple,32871.62,77.6
Rajasthan,Udaipur,Grapes,37870.47,83.8
Goa,Verna,Onion,40812.91,71.4
Tamil Nadu,Tirupur,Soybean,34601.57,45.6
Maharashtra,Nashik,Rice,42235.05,58.4
Punjab,Amritsar,Maize,39439.55,73.0
Uttar Pradesh,Kanpur,Wheat,20075.08,31.8
Madhya Pradesh,Gwalior,Cotton,4913.2,51.6
Karnataka,Shimoga,Potato,36804.84,86.8
Gujarat,Ahmedabad,Tomato,31807.55,64.6
Haryana,Hisar,Apple,13700.73,92.7
Rajasthan,Udaipur,Grapes,37157.92,89.9
Goa,Verna,Onion,6655.57,48.3
Tamil Nadu,Tirupur,Soybean,5389.6,92.7
Maharashtra,Nashik,Rice,12897.3,38.6
Punjab,Amritsar,Maize,21402.17,80.5
Uttar Pradesh,Kanpur,Wheat,11417.74,93.0
Madhya Pradesh,Gwalior,Cotton,1870.57,74.6
Karnataka,Shimoga,Potato,47582.1,35.8
Gujarat,Ahmedabad,Tomato,16251.29,49.9
Haryana,Hisar,Apple,44326.89,52.3
Rajasthan,Udaipur,Grapes,4903.46,52.1
Goa,Verna,Onion,32750.43,73.7
Tamil Nadu,Tirupur,Soybean,12869.73,64.0
Maharashtra,Nashik,Rice,15258.09,94.4
Punjab,Amritsar,Maize,40634.94,37.9
Uttar Pradesh,Kanpur,Wheat,2046.29,54.5
Madhya Pradesh,Gwalior,Cotton,30689.16,82.5
Karnataka,Shimoga,Potato,48667.8,43.6
Gujarat,Ahmedabad,Tomato,14553.08,56.0
Haryana,Hisar,Apple,27382.73,60.2
Rajasthan,Udaipur,Grapes,46846.45,92.9
Goa,Verna,Onion,28977.16,68.0
Tamil Nadu,Tirupur,Soybean,15455.27,68.3
Maharashtra,Nashik,Rice,49464.49,77.1
Punjab,Amritsar,Maize,27947.07,67.2
Uttar Pradesh,Kanpur,Wheat,31838.9,45.1
Madhya Pradesh,Gwalior,Cotton,20690.38,88.4
Karnataka,Shimoga,Potato,48449.24,57.4
Gujarat,Ahmedabad,Tomato,19189.65,37.4
Haryana,Hisar,Apple,6720.48,65.4
Rajasthan,Udaipur,Grapes,24458.58,87.1
Goa,Verna,Onion,29148.98,36.3
Tamil Nadu,Tirupur,Soybean,14176.46,93.3
Maharashtra,Nashik,Rice,24638.91,42.2
Punjab,Amritsar,Maize,11751.37,53.9
Uttar Pradesh,Kanpur,Wheat,17845.68,62.6
Madhya Pradesh,Gwalior,Cotton,48182.74,82.6
Karnataka,Shimoga,Potato,14257.43,35.7
Gujarat,Ahmedabad,Tomato,38420.59,79.7
Haryana,Hisar,Apple,47251.54,86.6
Rajasthan,Udaipur,Grapes,39686.95,36.5
Goa,Verna,Onion,12243.07,48.3
Tamil Nadu,Tirupur,Soybean,45332.36,55.1
Maharashtra,Nashik,Rice,10784.33,72.9
Punjab,Amritsar,Maize,26751.41,42.7
Uttar Pradesh,Kanpur,Wheat,32252.46,39.4
Madhya Pradesh,Gwalior,Cotton,25623.11,77.7
Karnataka,Shimoga,Potato,45142.79,55.0
Gujarat,Ahmedabad,Tomato,41670.59,33.1
Haryana,Hisar,Apple,49385.5,50.3
Rajasthan,Udaipur,Grapes,23733.54,80.5
Goa,Verna,Onion,44819.48,78.6
Tamil Nadu,Tirupur,Soybean,15228.32,37.1
Maharashtra,Nashik,Rice,11296.74,31.7
Punjab,Amritsar,Maize,10369.21,68.8
Uttar Pradesh,Kanpur,Wheat,26746.04,80.5
Madhya Pradesh,Gwalior,Cotton,42912.98,86.4
Karnataka,Shimoga,Potato,14498.43,31.5
Gujarat,Ahmedabad,Tomato,46677.1,66.6
Haryana,Hisar,Apple,38632.54,45.6
Rajasthan,Udaipur,Grapes,27258.49,84.2
Goa,Verna,Onion,32739.89,41.7
Tamil Nadu,Tirupur,Soybean,46370.07,48.2
Maharashtra,Nashik,Rice,15896.51,55.9
Punjab,Amritsar,Maize,8398.92,89.4
Uttar Pradesh,Kanpur,Wheat,7429.85,84.1
Madhya Pradesh,Gwalior,Cotton,15650.75,36.6
Karnataka,Shimoga,Potato,14478.46,33.0
Gujarat,Ahmedabad,Tomato,4473.35,83.2
Haryana,Hisar,Apple,9172.55,69.4
Rajasthan,Udaipur,Grapes,49477.03,90.7
Goa,Verna,Onion,47757.9,65.1
Tamil Nadu,Tirupur,Soybean,36053.4,54.6
Maharashtra,Nashik,Rice,49536.86,38.5
Punjab,Amritsar,Maize,43397.23,69.4
Uttar Pradesh,Kanpur,Wheat,29877.74,42.9
Madhya Pradesh,Gwalior,Cotton,39975.49,72.8
Karnataka,Shimoga,Potato,35212.74,52.5
Gujarat,Ahmedabad,Tomato,27851.09,38.5
Haryana,Hisar,Apple,47262.05,62.6
Rajasthan,Udaipur,Grapes,27193.49,55.4
Goa,Verna,Onion,5601.37,54.0
Tamil Nadu,Tirupur,Soybean,20126.18,47.0
Maharashtra,Nashik,Rice,1911.67,54.0
Punjab,Amritsar,Maize,5390.67,85.2
