crop,state,season,area_hectares,production_tons,rainfall_mm,fertilizer_kg_ha
Wheat,Gujarat,Rabi,46.9,173.75,552.0,136.3
Wheat,Uttar Pradesh,Zaid,31.34,115.04,544.0,135.8
Banana,Maharashtra,Rabi,28.69,939.72,1271.1,246.6
Tomato,Madhya Pradesh,Kharif,32.57,793.21,603.8,176.4
Cotton,Goa,Rabi,34.46,88.36,676.9,119.0
Wheat,Karnataka,Zaid,8.83,47.4,623.3,140.3
Potato,Rajasthan,Whole Year,16.75,247.36,486.9,143.9
Cotton,Goa,Zaid,24.66,54.63,788.4,69.6
Grapes,Uttar Pradesh,Whole Year,14.31,226.02,774.1,146.9
Banana,Gujarat,Whole Year,7.38,379.37,1160.3,236.3
Chickpea,Goa,Zaid,23.56,35.28,321.4,65.6
Banana,Rajasthan,Zaid,18.86,740.14,1166.5,212.1
Potato,Punjab,Whole Year,49.86,801.73,589.1,161.8
Apple,Uttar Pradesh,Rabi,25.76,319.18,833.0,62.1
Potato,Gujarat,Zaid,12.22,215.72,413.1,155.4
Tomato,Goa,Rabi,19.62,432.71,617.4,169.6
Cotton,Karnataka,Zaid,10.35,22.89,628.6,91.5
Banana,Karnataka,Kharif,16.27,703.17,1362.5,214.0
Rice,Maharashtra,Rabi,8.65,29.25,859.3,85.6
Apple,Maharashtra,Rabi,40.92,798.77,977.3,112.8
Maize,Punjab,Kharif,4.38,22.49,870.3,124.3
Cotton,Gujarat,Rabi,41.48,103.33,752.7,106.3
Apple,Madhya Pradesh,Rabi,34.8,366.63,864.5,80.7
Rice,Rajasthan,Zaid,3.41,9.88,1347.2,122.0
Rice,Tamil Nadu,Zaid,12.4,38.67,758.1,137.2
Rice,Uttar Pradesh,Whole Year,24.36,76.36,1009.6,147.2
Potato,Goa,Rabi,41.59,662.69,701.9,132.1
Chickpea,Maharashtra,Rabi,14.21,23.41,456.8,55.4
Chickpea,Haryana,Rabi,21.18,31.72,545.1,103.6
Maize,Rajasthan,Whole Year,8.83,41.07,600.7,114.7
Maize,Madhya Pradesh,Rabi,8.18,35.42,682.8,90.2
Cotton,Karnataka,Rabi,48.34,99.86,620.0,111.6
Wheat,Haryana,Zaid,16.3,79.0,402.0,118.1
Wheat,Uttar Pradesh,Zaid,48.19,212.26,310.9,140.1
Tomato,Punjab,Rabi,33.0,671.38,904.9,213.1
Banana,Goa,Kharif,2.04,66.16,1390.0,187.9
Maize,Uttar Pradesh,Whole Year,33.62,129.63,816.2,121.1
Potato,Maharashtra,Rabi,9.36,121.87,200.0,148.5
Wheat,Goa,Whole Year,3.16,14.87,312.8,123.7
Maize,Haryana,Kharif,5.24,20.43,634.0,74.2
Apple,Goa,Whole Year,11.73,166.36,684.6,136.0
Maize,Goa,Whole Year,14.24,61.35,552.8,110.3
Apple,Punjab,Kharif,9.62,114.69,810.0,105.0
Banana,Rajasthan,Kharif,18.92,718.63,1217.0,190.4
Rice,Uttar Pradesh,Rabi,33.84,159.14,814.3,159.7
Cotton,Madhya Pradesh,Whole Year,30.64,66.32,777.2,41.2
Cotton,Uttar Pradesh,Rabi,26.91,56.52,706.6,97.0
Tomato,Gujarat,Rabi,34.67,820.95,661.6,147.7
Tomato,Madhya Pradesh,Rabi,24.16,596.14,646.1,168.9
Wheat,Haryana,Zaid,32.14,147.38,621.9,137.7
Grapes,Tamil Nadu,Zaid,18.41,288.71,566.0,119.3
Maize,Madhya Pradesh,Whole Year,15.06,66.24,696.9,125.3
Cotton,Madhya Pradesh,Rabi,25.99,64.0,711.3,121.9
Grapes,Goa,Kharif,22.13,380.02,617.3,134.9
Wheat,Uttar Pradesh,Kharif,9.87,50.28,622.0,150.6
Wheat,Tamil Nadu,Whole Year,31.14,122.71,602.3,130.5
Cotton,Punjab,Rabi,17.32,39.05,780.5,98.1
Potato,Gujarat,Rabi,12.67,298.04,477.3,164.9
Potato,Maharashtra,Whole Year,24.12,463.98,417.9,124.8
Rice,Madhya Pradesh,Zaid,33.6,136.64,1093.6,139.8
Wheat,Maharashtra,Zaid,33.14,128.63,365.4,129.7
Grapes,Gujarat,Zaid,48.71,721.91,796.3,123.1
Wheat,Maharashtra,Rabi,29.9,120.35,451.8,109.4
Tomato,Uttar Pradesh,Whole Year,39.94,853.52,626.7,145.9
Wheat,Haryana,Zaid,13.19,48.47,424.0,136.1
Cotton,Rajasthan,Zaid,39.25,63.49,582.8,95.8
Grapes,Karnataka,Kharif,34.48,517.74,618.0,122.0
Maize,Gujarat,Rabi,43.5,198.85,828.6,146.9
Cotton,Gujarat,Kharif,17.52,36.66,649.6,89.5
Maize,Punjab,Whole Year,34.98,128.7,748.4,102.8
Wheat,Gujarat,Whole Year,19.33,83.4,729.9,143.0
Maize,Gujarat,Rabi,7.1,29.55,803.5,120.0
Rice,Gujarat,Kharif,0.52,1.87,1001.9,125.6
Cotton,Maharashtra,Zaid,29.34,66.95,803.7,70.7
Grapes,Punjab,Zaid,49.77,1074.1,793.9,176.3
Rice,Tamil Nadu,Kharif,44.77,161.14,1130.8,100.8
Tomato,Gujarat,Zaid,3.34,69.59,628.8,214.7
Grapes,Haryana,Rabi,0.98,11.69,331.4,125.0
Banana,Haryana,Kharif,48.46,1730.1,1222.6,181.0
Apple,Haryana,Rabi,34.54,435.22,1042.6,146.9
Potato,Gujarat,Zaid,1.73,24.26,673.8,127.5
Banana,Karnataka,Whole Year,37.81,1421.67,1376.9,245.8
Chickpea,Rajasthan,Whole Year,43.72,77.42,653.1,20.0
Tomato,Uttar Pradesh,Zaid,19.88,393.68,510.8,190.9
Banana,Rajasthan,Whole Year,29.63,969.42,1207.0,200.1
Potato,Tamil Nadu,Rabi,11.29,195.46,439.9,165.6
Maize,Madhya Pradesh,Whole Year,2.73,13.02,777.2,113.0
Wheat,Maharashtra,Zaid,22.57,96.28,269.9,101.9
Chickpea,Uttar Pradesh,Zaid,16.32,35.71,337.7,58.3
Apple,Madhya Pradesh,Zaid,28.65,367.52,1076.9,102.9
Maize,Uttar Pradesh,Zaid,40.57,195.04,963.3,161.5
Chickpea,Uttar Pradesh,Rabi,34.32,79.25,546.8,74.3
Tomato,Karnataka,Kharif,36.92,927.12,852.9,135.9
Tomato,Karnataka,Zaid,8.93,108.62,572.5,116.0
Potato,Tamil Nadu,Whole Year,23.66,529.89,707.6,143.3
Grapes,Punjab,Kharif,2.42,31.58,894.3,141.9
Rice,Karnataka,Zaid,33.77,114.64,991.7,77.4
Rice,Tamil Nadu,Rabi,35.15,109.74,689.9,119.2
Apple,Gujarat,Rabi,2.81,34.39,1000.5,67.4
Potato,Gujarat,Kharif,49.61,688.48,522.9,126.5
Wheat,Karnataka,Zaid,26.91,96.01,643.3,128.4
Rice,Tamil Nadu,Zaid,10.8,33.36,920.5,132.6
Apple,Tamil Nadu,Rabi,47.49,492.92,744.7,97.3
Rice,Gujarat,Zaid,36.05,130.45,1294.7,90.1
Chickpea,Rajasthan,Rabi,24.78,42.72,482.1,32.5
Maize,Madhya Pradesh,Whole Year,22.64,107.47,792.1,104.5
Banana,Karnataka,Whole Year,1.85,58.68,1113.6,186.7
Banana,Punjab,Kharif,5.84,208.86,972.7,142.5
Wheat,Punjab,Whole Year,19.22,88.99,462.6,171.1
Rice,Maharashtra,Kharif,46.62,215.72,1461.8,127.8
Grapes,Tamil Nadu,Zaid,18.76,199.69,506.7,136.8
Maize,Uttar Pradesh,Zaid,38.64,123.8,586.5,115.1
Banana,Madhya Pradesh,Whole Year,31.41,1288.45,1037.8,183.8
Grapes,Haryana,Rabi,9.37,177.88,648.8,162.0
Potato,Haryana,Zaid,27.24,585.2,470.8,151.9
Banana,Gujarat,Rabi,1.58,52.63,1044.4,213.5
Apple,Uttar Pradesh,Kharif,10.59,131.26,692.6,78.1
Maize,Punjab,Zaid,29.89,140.21,490.2,157.7
Rice,Punjab,Rabi,15.62,46.83,926.9,103.7
Maize,Gujarat,Whole Year,47.76,167.36,707.3,88.4
Apple,Gujarat,Kharif,8.07,94.47,892.5,106.8
Potato,Punjab,Zaid,10.8,202.56,513.5,127.3
Cotton,Uttar Pradesh,Kharif,36.12,79.14,653.4,102.5
Potato,Tamil Nadu,Whole Year,34.9,655.83,349.6,168.8
Maize,Punjab,Rabi,44.23,163.1,785.6,93.4
Chickpea,Maharashtra,Zaid,35.47,55.8,205.9,20.0
Tomato,Uttar Pradesh,Rabi,49.7,1167.87,614.4,166.5
Chickpea,Maharashtra,Rabi,35.02,47.62,440.1,20.0
Grapes,Karnataka,Zaid,22.48,283.41,657.1,123.7
Rice,Goa,Whole Year,17.04,56.03,1150.9,110.4
Grapes,Rajasthan,Kharif,9.14,146.75,480.5,160.9
Wheat,Rajasthan,Zaid,35.02,120.81,200.0,166.0
Cotton,Punjab,Kharif,40.29,95.31,769.5,104.4
Maize,Haryana,Zaid,32.01,127.77,713.0,94.9
Banana,Karnataka,Rabi,39.96,1567.13,1238.2,229.2
Tomato,Haryana,Whole Year,6.3,123.71,676.9,149.7
Grapes,Madhya Pradesh,Rabi,32.48,508.8,586.9,149.9
Potato,Madhya Pradesh,Rabi,35.41,697.36,730.7,201.9
Chickpea,Punjab,Rabi,46.98,62.23,388.8,80.0
Wheat,Haryana,Zaid,20.36,66.19,219.4,104.8
Grapes,Uttar Pradesh,Whole Year,24.38,411.59,901.5,140.5
Chickpea,Madhya Pradesh,Rabi,1.39,1.74,574.4,44.5
Wheat,Tamil Nadu,Rabi,47.04,155.17,615.6,135.9
Grapes,Madhya Pradesh,Kharif,13.94,211.22,700.8,168.6
Rice,Maharashtra,Kharif,6.08,24.71,1340.6,135.8
Chickpea,Madhya Pradesh,Whole Year,16.83,26.18,381.1,56.2
Rice,Goa,Zaid,11.34,40.24,871.6,140.8
Rice,Gujarat,Whole Year,35.54,130.33,1071.8,108.1
Maize,Rajasthan,Rabi,27.45,113.95,623.5,135.9
Banana,Rajasthan,Zaid,24.61,850.68,1133.4,175.5
Banana,Maharashtra,Kharif,6.52,257.12,1061.7,218.9
Wheat,Tamil Nadu,Zaid,23.04,126.07,562.0,163.9
Cotton,Tamil Nadu,Kharif,33.7,47.34,613.3,70.7
Chickpea,Punjab,Rabi,32.4,63.91,548.2,87.4
Cotton,Tamil Nadu,Whole Year,24.57,71.9,631.2,97.0
Maize,Uttar Pradesh,Rabi,2.46,11.57,716.4,113.2
Grapes,Uttar Pradesh,Whole Year,23.26,319.42,683.6,152.0
Wheat,Karnataka,Rabi,19.69,103.18,782.3,141.8
Grapes,Madhya Pradesh,Zaid,16.88,229.94,573.3,179.8
Banana,Haryana,Rabi,38.75,1573.86,1208.4,196.9
Maize,Gujarat,Zaid,31.41,126.71,929.4,67.7
Maize,Rajasthan,Whole Year,32.21,92.65,548.2,99.3
Cotton,Punjab,Kharif,7.41,13.87,811.0,110.6
Wheat,Goa,Rabi,35.59,166.62,449.6,97.6
Tomato,Punjab,Zaid,11.1,215.5,524.5,153.5
Rice,Goa,Kharif,16.45,49.34,595.5,113.2
Potato,Uttar Pradesh,Rabi,38.02,887.66,704.4,144.2
Cotton,Tamil Nadu,Zaid,48.99,94.66,759.7,118.2
Banana,Punjab,Zaid,18.56,736.23,1208.9,264.3
Banana,Gujarat,Whole Year,19.26,664.7,1229.7,199.4
Wheat,Gujarat,Rabi,11.04,41.59,418.0,115.7
Potato,Karnataka,Zaid,48.47,834.68,493.1,136.4
Maize,Gujarat,Whole Year,32.39,89.41,925.6,103.6
Tomato,Karnataka,Whole Year,16.21,285.18,936.9,187.3
Potato,Haryana,Kharif,15.49,210.5,544.3,141.4
Potato,Tamil Nadu,Kharif,43.28,914.64,433.4,130.6
Chickpea,Uttar Pradesh,Whole Year,43.44,94.79,640.7,73.4
Maize,Gujarat,Kharif,23.63,98.59,621.3,81.8
Rice,Uttar Pradesh,Whole Year,16.71,54.67,1106.9,89.4
Cotton,Karnataka,Kharif,24.02,57.06,906.6,80.6
Wheat,Uttar Pradesh,Kharif,2.3,8.02,673.9,121.0
Potato,Karnataka,Whole Year,4.31,78.44,689.0,165.4
Wheat,Maharashtra,Zaid,19.07,83.81,312.3,138.2
Tomato,Uttar Pradesh,Whole Year,16.56,409.73,671.6,155.4
Banana,Punjab,Zaid,31.75,742.22,988.7,182.4
Rice,Maharashtra,Zaid,43.05,186.23,807.9,135.2
Apple,Punjab,Kharif,31.66,381.44,1154.5,48.0
Maize,Madhya Pradesh,Whole Year,30.45,131.8,618.3,107.6
Chickpea,Gujarat,Kharif,12.88,24.69,615.5,49.1
Maize,Haryana,Zaid,43.06,177.72,645.5,113.8
Tomato,Maharashtra,Whole Year,28.36,459.34,493.5,167.7
Tomato,Uttar Pradesh,Kharif,40.72,911.32,775.6,178.6
Rice,Punjab,Rabi,23.85,78.1,1052.1,120.5
Chickpea,Rajasthan,Whole Year,20.52,30.4,479.4,30.5
Wheat,Tamil Nadu,Whole Year,38.39,168.63,244.6,140.2
Maize,Goa,Zaid,2.15,10.68,738.4,121.8
Cotton,Goa,Kharif,7.03,13.19,952.2,131.6
Wheat,Gujarat,Kharif,5.63,20.53,406.3,98.0
Wheat,Madhya Pradesh,Zaid,13.54,55.31,391.1,142.9
Wheat,Karnataka,Whole Year,32.3,93.5,408.3,111.1
Apple,Gujarat,Whole Year,19.94,178.64,697.2,76.9
Grapes,Madhya Pradesh,Kharif,28.79,606.64,507.6,166.3
Wheat,Gujarat,Rabi,14.02,50.71,527.7,142.3
Grapes,Maharashtra,Rabi,23.76,366.17,563.7,157.5
Chickpea,Uttar Pradesh,Kharif,11.29,26.34,435.6,114.0
Potato,Maharashtra,Whole Year,48.74,1078.1,594.8,132.4
Wheat,Maharashtra,Zaid,49.64,229.6,771.9,114.3
Banana,Haryana,Whole Year,30.61,1227.93,1294.9,185.9
Grapes,Madhya Pradesh,Whole Year,20.57,262.66,414.5,155.5
Grapes,Haryana,Whole Year,36.18,584.67,638.8,133.8
Wheat,Karnataka,Rabi,2.46,9.9,299.7,134.4
Potato,Punjab,Rabi,8.21,179.98,684.0,165.3
Chickpea,Gujarat,Zaid,13.59,25.73,518.9,70.8
Grapes,Rajasthan,Zaid,26.67,387.04,714.4,98.5
Cotton,Goa,Kharif,45.18,78.92,608.5,96.8
Rice,Gujarat,Whole Year,33.96,137.05,994.1,146.3
Grapes,Rajasthan,Rabi,24.01,411.83,654.5,140.7
Grapes,Tamil Nadu,Zaid,43.16,588.6,664.4,127.1
Apple,Rajasthan,Rabi,34.25,410.01,853.6,89.1
Wheat,Karnataka,Kharif,15.94,57.28,688.4,118.0
Chickpea,Goa,Zaid,27.86,59.57,384.0,45.3
Maize,Gujarat,Zaid,15.08,52.78,854.8,114.9
Potato,Karnataka,Kharif,31.11,596.81,733.4,156.7
Wheat,Goa,Rabi,9.1,45.18,422.4,156.6
Grapes,Goa,Rabi,5.68,87.91,595.6,197.5
Maize,Punjab,Kharif,2.42,10.83,936.9,146.3
Banana,Maharashtra,Whole Year,1.52,40.68,1157.7,189.5
Potato,Rajasthan,Kharif,49.79,711.29,449.4,127.0
Apple,Goa,Rabi,18.21,271.25,935.1,99.1
Apple,Tamil Nadu,Kharif,6.87,79.32,1047.6,75.0
Maize,Tamil Nadu,Kharif,38.34,138.41,801.2,108.8
Tomato,Maharashtra,Whole Year,9.31,225.42,775.0,169.6
Grapes,Goa,Zaid,13.3,205.33,1018.3,147.2
Cotton,Tamil Nadu,Zaid,35.93,68.14,706.5,76.7
Tomato,Karnataka,Whole Year,43.87,1191.75,928.4,144.1
Grapes,Goa,Kharif,31.68,477.41,525.1,125.7
Banana,Haryana,Whole Year,34.49,1244.94,1294.9,186.2
Tomato,Gujarat,Zaid,46.28,1286.15,982.1,122.1
Tomato,Madhya Pradesh,Whole Year,37.35,817.44,691.8,144.7
Tomato,Uttar Pradesh,Whole Year,31.28,927.62,848.8,168.4
Apple,Punjab,Rabi,21.49,193.0,780.3,95.6
Chickpea,Haryana,Rabi,20.85,46.2,445.0,31.7
Banana,Punjab,Kharif,35.65,1225.06,1233.6,187.1
Banana,Punjab,Kharif,33.52,1282.86,1579.0,229.7
Wheat,Haryana,Zaid,42.21,189.92,656.6,117.8
Wheat,Gujarat,Zaid,32.56,138.68,587.6,176.2
Grapes,Goa,Rabi,14.91,268.95,816.3,154.8
Potato,Uttar Pradesh,Rabi,10.01,225.01,760.0,162.7
Wheat,Tamil Nadu,Kharif,10.01,42.98,597.3,164.6
Wheat,Uttar Pradesh,Rabi,38.03,142.86,681.0,133.7
Cotton,Madhya Pradesh,Zaid,46.09,101.91,741.0,99.2
Cotton,Uttar Pradesh,Whole Year,47.86,113.67,828.7,122.0
Apple,Haryana,Zaid,23.14,295.01,1011.9,66.0
Banana,Gujarat,Whole Year,8.92,351.92,1153.8,254.1
Tomato,Uttar Pradesh,Kharif,2.62,61.62,986.6,166.2
Tomato,Madhya Pradesh,Zaid,16.91,397.82,841.2,167.0
Grapes,Uttar Pradesh,Zaid,16.93,291.38,679.1,128.8
Apple,Maharashtra,Zaid,4.17,42.51,919.9,74.3
Wheat,Rajasthan,Zaid,31.09,112.85,271.5,159.9
Cotton,Tamil Nadu,Rabi,32.88,78.08,1034.8,99.4
Grapes,Maharashtra,Whole Year,27.68,348.63,932.2,126.1
Rice,Karnataka,Whole Year,11.21,32.74,1066.0,65.0
Tomato,Karnataka,Kharif,5.37,120.2,856.3,134.5
Potato,Haryana,Kharif,42.42,797.97,408.0,135.9
Grapes,Goa,Whole Year,36.34,711.42,635.1,156.3
Banana,Gujarat,Rabi,45.23,1225.24,971.2,173.2
Maize,Goa,Whole Year,29.89,122.09,736.5,108.9
Wheat,Gujarat,Zaid,22.35,105.3,312.3,138.8
Tomato,Goa,Kharif,38.48,929.09,917.6,157.9
Maize,Punjab,Rabi,49.64,232.59,785.5,121.4
Tomato,Rajasthan,Rabi,48.72,1202.07,949.4,176.1
Grapes,Tamil Nadu,Rabi,0.87,16.28,636.5,157.7
Rice,Haryana,Kharif,38.66,140.89,1270.1,103.1
Chickpea,Madhya Pradesh,Whole Year,44.71,67.89,469.2,20.0
Wheat,Maharashtra,Rabi,18.7,70.74,402.1,151.0
Banana,Punjab,Zaid,12.22,223.12,1132.2,152.8
Grapes,Haryana,Zaid,31.57,508.07,764.1,100.4
Potato,Madhya Pradesh,Zaid,21.58,377.0,455.0,160.6
Potato,Rajasthan,Kharif,37.02,781.75,426.2,149.9
Tomato,Goa,Kharif,18.83,429.96,716.9,181.9
Wheat,Gujarat,Rabi,34.37,121.44,200.0,135.2
Cotton,Madhya Pradesh,Zaid,24.95,48.24,649.8,73.0
Tomato,Karnataka,Whole Year,44.06,1001.26,846.1,204.9
Rice,Goa,Zaid,6.22,26.78,1209.9,134.3
Wheat,Gujarat,Zaid,1.95,8.41,403.0,131.5
Wheat,Gujarat,Rabi,39.57,182.84,634.3,139.8
Apple,Punjab,Zaid,39.16,576.08,819.7,126.2
Tomato,Tamil Nadu,Zaid,33.95,746.76,1061.3,164.9
Banana,Tamil Nadu,Whole Year,15.07,526.39,1229.7,243.4
Potato,Maharashtra,Rabi,42.63,786.52,551.9,137.9
Potato,Maharashtra,Whole Year,28.29,507.55,513.9,163.1
Wheat,Madhya Pradesh,Whole Year,41.3,206.56,759.1,183.6
Cotton,Maharashtra,Rabi,7.32,17.71,818.0,91.0
Chickpea,Gujarat,Zaid,3.12,3.86,411.4,24.4
Tomato,Punjab,Kharif,45.61,979.99,847.1,170.0
Cotton,Maharashtra,Zaid,39.4,69.67,616.1,129.3
Grapes,Tamil Nadu,Kharif,20.76,408.22,807.1,145.6
Tomato,Madhya Pradesh,Zaid,49.77,1116.58,911.8,148.5
Chickpea,Rajasthan,Whole Year,9.94,20.2,582.5,45.7
Grapes,Madhya Pradesh,Zaid,32.91,589.75,871.5,100.6
Tomato,Madhya Pradesh,Rabi,39.14,913.37,809.4,144.4
Banana,Gujarat,Whole Year,18.5,574.66,1117.5,206.5
Apple,Punjab,Whole Year,23.96,325.79,1075.9,99.4
Wheat,Tamil Nadu,Zaid,2.4,5.65,615.8,120.7
Rice,Maharashtra,Kharif,16.05,51.95,739.0,148.7
Potato,Goa,Zaid,25.81,492.39,405.8,122.0
Tomato,Goa,Zaid,30.08,651.94,802.0,148.3
Apple,Maharashtra,Zaid,16.36,163.89,911.5,111.9
Tomato,Haryana,Zaid,46.18,806.76,675.9,184.9
Chickpea,Madhya Pradesh,Zaid,48.72,102.93,675.1,39.3
Apple,Haryana,Zaid,30.68,338.2,847.6,91.3
Cotton,Punjab,Rabi,7.73,20.16,857.3,141.9
Apple,Goa,Zaid,7.41,91.01,935.8,125.8
Tomato,Madhya Pradesh,Rabi,42.36,914.59,739.3,155.1
Tomato,Punjab,Kharif,49.4,1248.34,757.8,178.2
Apple,Goa,Kharif,0.73,6.13,911.8,98.0
Grapes,Madhya Pradesh,Kharif,27.41,497.94,702.0,162.9
Chickpea,Maharashtra,Zaid,46.07,84.01,763.3,20.0
Wheat,Gujarat,Zaid,27.48,120.97,344.0,157.7
Banana,Rajasthan,Kharif,11.7,494.03,1106.4,173.7
Grapes,Uttar Pradesh,Zaid,30.13,511.02,682.6,135.2
Wheat,Tamil Nadu,Whole Year,46.9,203.79,522.6,142.4
Chickpea,Tamil Nadu,Rabi,15.65,32.33,441.4,110.1
Cotton,Punjab,Zaid,20.65,58.17,965.8,116.3
Tomato,Goa,Rabi,24.8,668.67,578.5,176.0
Apple,Tamil Nadu,Zaid,27.36,276.8,945.4,71.3
Cotton,Punjab,Whole Year,47.39,110.49,849.3,88.4
Banana,Gujarat,Whole Year,48.59,1975.58,1442.1,210.5
Rice,Goa,Zaid,38.99,165.07,1144.6,113.9
Tomato,Maharashtra,Whole Year,43.0,1012.84,839.6,129.3
Banana,Uttar Pradesh,Whole Year,12.81,459.38,1406.4,192.6
Wheat,Goa,Whole Year,12.15,48.64,474.0,133.1
Wheat,Haryana,Kharif,33.48,149.93,284.0,102.6
Cotton,Rajasthan,Zaid,48.01,62.32,651.3,68.8
Tomato,Goa,Whole Year,27.33,694.31,551.5,144.0
Potato,Uttar Pradesh,Rabi,19.12,467.13,496.8,175.2
Cotton,Maharashtra,Zaid,4.57,6.63,751.3,114.5
Banana,Goa,Whole Year,25.38,715.32,991.6,257.3
Chickpea,Karnataka,Zaid,5.59,13.77,816.0,75.6
Apple,Karnataka,Whole Year,41.89,594.66,989.2,114.1
Rice,Goa,Whole Year,34.14,127.41,1042.2,139.0
Potato,Gujarat,Rabi,12.38,205.18,486.9,148.4
Chickpea,Karnataka,Kharif,10.16,14.4,435.2,20.0
Rice,Tamil Nadu,Kharif,38.81,157.8,1027.0,92.4
Grapes,Karnataka,Rabi,39.12,485.21,414.4,163.0
Wheat,Maharashtra,Kharif,10.36,40.16,352.6,153.5
Chickpea,Maharashtra,Zaid,8.32,14.97,304.7,63.8
Apple,Punjab,Kharif,10.27,117.58,809.8,66.6
Cotton,Rajasthan,Kharif,3.98,8.21,866.1,50.2
Potato,Goa,Whole Year,9.89,221.15,633.6,163.8
Chickpea,Gujarat,Zaid,42.93,77.68,385.6,53.1
Maize,Haryana,Whole Year,47.85,208.1,707.3,123.6
Rice,Maharashtra,Zaid,5.66,14.36,900.6,102.5
Banana,Karnataka,Whole Year,38.67,1255.3,1013.4,243.7
Wheat,Punjab,Kharif,48.06,184.55,634.2,112.0
Rice,Rajasthan,Kharif,4.46,16.76,899.0,151.2
Rice,Maharashtra,Rabi,39.86,122.29,1321.8,99.1
Grapes,Madhya Pradesh,Kharif,23.24,385.55,745.1,147.7
Rice,Punjab,Whole Year,22.16,76.9,980.5,115.4
Banana,Punjab,Whole Year,42.69,2043.34,1344.6,196.3
Banana,Uttar Pradesh,Whole Year,11.72,368.08,994.5,186.1
Potato,Rajasthan,Kharif,45.82,1104.1,479.4,214.5
Apple,Maharashtra,Whole Year,46.35,636.43,817.0,141.9
Rice,Madhya Pradesh,Rabi,22.1,79.96,943.1,160.7
Tomato,Goa,Kharif,21.96,400.0,597.8,145.5
Apple,Karnataka,Whole Year,26.92,266.45,905.1,69.4
Maize,Goa,Rabi,25.29,105.28,466.6,115.8
Wheat,Tamil Nadu,Rabi,7.41,29.88,200.9,150.8
Potato,Gujarat,Rabi,2.62,59.32,418.6,180.7
Cotton,Punjab,Whole Year,35.07,75.68,694.2,100.5
Maize,Madhya Pradesh,Whole Year,35.06,163.78,711.4,124.0
