subdivision,state,normal_monsoon_mm,actual_monsoon_mm,departure_pct
Maharashtra Zone-6,Maharashtra,950.0,1020.0,7.37
Punjab Zone-6,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-6,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-6,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-6,Karnataka,1200.0,1150.0,-4.16
Goa Zone-6,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-6,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-6,Gujarat,750.0,820.0,9.33
Maharashtra Zone-7,Maharashtra,950.0,1020.0,7.37
Punjab Zone-7,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-7,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-7,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-7,Karnataka,1200.0,1150.0,-4.16
Goa Zone-7,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-7,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-7,Gujarat,750.0,820.0,9.33
Maharashtra Zone-8,Maharashtra,950.0,1020.0,7.37
Punjab Zone-8,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-8,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-8,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-8,Karnataka,1200.0,1150.0,-4.16
Goa Zone-8,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-8,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-8,Gujarat,750.0,820.0,9.33
Maharashtra Zone-9,Maharashtra,950.0,1020.0,7.37
Punjab Zone-9,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-9,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-9,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-9,Karnataka,1200.0,1150.0,-4.16
Goa Zone-9,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-9,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-9,Gujarat,750.0,820.0,9.33
Maharashtra Zone-10,Maharashtra,950.0,1020.0,7.37
Punjab Zone-10,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-10,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-10,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-10,Karnataka,1200.0,1150.0,-4.16
Goa Zone-10,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-10,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-10,Gujarat,750.0,820.0,9.33
Maharashtra Zone-11,Maharashtra,950.0,1020.0,7.37
Punjab Zone-11,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-11,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-11,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-11,Karnataka,1200.0,1150.0,-4.16
Goa Zone-11,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-11,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-11,Gujarat,750.0,820.0,9.33
Maharashtra Zone-12,Maharashtra,950.0,1020.0,7.37
Punjab Zone-12,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-12,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-12,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-12,Karnataka,1200.0,1150.0,-4.16
Goa Zone-12,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-12,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-12,Gujarat,750.0,820.0,9.33
Maharashtra Zone-13,Maharashtra,950.0,1020.0,7.37
Punjab Zone-13,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-13,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-13,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-13,Karnataka,1200.0,1150.0,-4.16
Goa Zone-13,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-13,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-13,Gujarat,750.0,820.0,9.33
Maharashtra Zone-14,Maharashtra,950.0,1020.0,7.37
Punjab Zone-14,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-14,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-14,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-14,Karnataka,1200.0,1150.0,-4.16
Goa Zone-14,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-14,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-14,Gujarat,750.0,820.0,9.33
Maharashtra Zone-15,Maharashtra,950.0,1020.0,7.37
Punjab Zone-15,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-15,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-15,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-15,Karnataka,1200.0,1150.0,-4.16
Goa Zone-15,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-15,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-15,Gujarat,750.0,820.0,9.33
Maharashtra Zone-16,Maharashtra,950.0,1020.0,7.37
Punjab Zone-16,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-16,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-16,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-16,Karnataka,1200.0,1150.0,-4.16
Goa Zone-16,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-16,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-16,Gujarat,750.0,820.0,9.33
Maharashtra Zone-17,Maharashtra,950.0,1020.0,7.37
Punjab Zone-17,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-17,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-17,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-17,Karnataka,1200.0,1150.0,-4.16
Goa Zone-17,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-17,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-17,Gujarat,750.0,820.0,9.33
Maharashtra Zone-18,Maharashtra,950.0,1020.0,7.37
Punjab Zone-18,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-18,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-18,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-18,Karnataka,1200.0,1150.0,-4.16
Goa Zone-18,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-18,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-18,Gujarat,750.0,820.0,9.33
Maharashtra Zone-19,Maharashtra,950.0,1020.0,7.37
Punjab Zone-19,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-19,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-19,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-19,Karnataka,1200.0,1150.0,-4.16
Goa Zone-19,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-19,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-19,Gujarat,750.0,820.0,9.33
Maharashtra Zone-20,Maharashtra,950.0,1020.0,7.37
Punjab Zone-20,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-20,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-20,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-20,Karnataka,1200.0,1150.0,-4.16
Goa Zone-20,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-20,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-20,Gujarat,750.0,820.0,9.33
Maharashtra Zone-21,Maharashtra,950.0,1020.0,7.37
Punjab Zone-21,Punjab,550.0,490.0,-10.9
Uttar Pradesh Zone-21,Uttar Pradesh,850.0,810.0,-4.7
Madhya Pradesh Zone-21,Madhya Pradesh,1050.0,1180.0,12.38
Karnataka Zone-21,Karnataka,1200.0,1150.0,-4.16
Goa Zone-21,Goa,2900.0,3150.0,8.62
Tamil Nadu Zone-21,Tamil Nadu,910.0,940.0,3.3
Gujarat Zone-21,Gujarat,750.0,820.0,9.33
