N,P,K,temperature,humidity,ph,rainfall,label
43.6,61.3,74.3,20.14,17.78,7.08,83.32,chickpea
43.1,64.3,69.4,19.56,17.96,7.15,72.36,chickpea
43.0,64.9,75.9,19.56,17.42,6.63,77.44,chickpea
46.8,65.0,73.5,20.37,16.91,6.66,76.42,chickpea
50.3,66.9,74.0,21.31,16.67,7.04,79.04,chickpea
44.6,66.5,69.8,19.19,15.81,6.79,84.72,chickpea
52.4,67.1,76.7,18.4,16.46,6.55,74.91,chickpea
44.4,63.4,68.4,21.37,15.93,6.81,86.14,chickpea
41.9,56.6,74.0,21.78,18.96,6.44,79.57,chickpea
43.4,64.6,83.8,18.75,17.25,6.87,82.02,chickpea
45.3,66.0,73.7,20.81,16.66,6.91,75.96,chickpea
46.3,64.9,78.8,20.44,15.23,7.07,73.73,chickpea
42.8,63.0,79.6,18.01,20.14,7.01,78.43,chickpea
44.8,66.0,76.7,21.25,17.56,6.77,76.68,chickpea
44.5,64.4,78.8,21.19,14.06,6.91,78.31,chickpea
44.9,63.7,78.7,21.61,16.23,6.85,73.45,chickpea
40.4,62.9,77.9,21.61,17.51,6.93,79.65,chickpea
42.9,66.4,77.7,21.38,18.19,6.93,78.96,chickpea
48.6,64.9,72.1,20.31,16.26,6.58,76.9,chickpea
42.4,64.0,68.7,20.75,17.0,6.55,80.25,chickpea
48.1,59.6,72.5,19.6,16.06,6.96,76.69,chickpea
44.1,58.3,77.1,19.05,17.06,6.82,83.17,chickpea
40.6,54.9,75.6,22.6,18.24,6.8,75.45,chickpea
47.7,61.8,76.6,21.09,18.06,7.44,79.14,chickpea
43.3,64.9,69.1,19.69,16.59,6.62,78.13,chickpea
42.3,68.7,75.0,20.49,16.67,6.79,80.94,chickpea
42.1,62.8,74.0,18.93,16.18,6.63,81.14,chickpea
45.9,65.6,77.8,20.34,17.39,6.72,78.61,chickpea
43.1,56.9,74.6,22.16,17.93,6.99,82.65,chickpea
45.3,65.7,72.9,20.13,17.62,7.05,76.92,chickpea
43.5,65.0,77.0,18.82,14.7,6.61,72.41,chickpea
43.3,64.5,73.5,22.19,17.33,6.83,80.09,chickpea
41.2,68.5,74.7,21.28,15.93,6.36,80.91,chickpea
26.3,62.0,20.3,21.19,20.11,6.27,91.49,kidneybeans
27.1,63.9,24.0,18.68,21.31,6.01,89.97,kidneybeans
27.5,63.3,21.9,18.01,18.51,5.97,141.19,kidneybeans
27.6,64.9,21.8,19.53,22.14,5.8,121.71,kidneybeans
27.4,67.4,23.6,19.53,22.29,6.1,99.69,kidneybeans
23.1,65.3,26.4,17.64,19.79,6.03,105.76,kidneybeans
25.6,65.8,21.9,21.73,19.63,5.86,103.45,kidneybeans
19.5,64.4,26.7,19.53,21.77,5.79,95.75,kidneybeans
23.7,63.9,25.7,20.34,20.2,6.04,112.47,kidneybeans
28.8,70.3,20.0,18.28,20.03,5.96,112.0,kidneybeans
28.3,64.7,21.7,19.73,20.53,6.35,80.89,kidneybeans
25.6,71.7,22.5,19.21,21.08,5.97,125.59,kidneybeans
17.6,70.1,18.9,19.1,21.0,6.1,81.03,kidneybeans
26.5,71.7,19.1,19.78,20.73,6.07,105.29,kidneybeans
22.9,66.6,27.0,19.21,22.34,5.78,90.65,kidneybeans
26.6,69.9,23.4,19.03,21.5,5.79,114.07,kidneybeans
27.9,63.5,21.3,19.9,20.99,5.99,136.5,kidneybeans
24.2,63.8,20.9,20.62,21.29,5.89,124.82,kidneybeans
29.7,63.0,17.8,21.01,20.7,6.13,75.45,kidneybeans
28.0,61.0,24.3,19.52,20.39,5.93,115.29,kidneybeans
25.4,66.9,27.4,17.15,23.39,6.02,91.52,kidneybeans
20.6,64.4,24.8,19.31,23.26,5.76,104.82,kidneybeans
20.8,66.2,24.7,18.87,18.46,6.03,111.55,kidneybeans
26.3,69.1,19.8,20.52,22.89,5.7,109.79,kidneybeans
23.3,64.7,23.4,18.77,20.71,6.01,88.69,kidneybeans
21.4,67.3,19.6,20.5,22.04,5.71,94.84,kidneybeans
29.0,61.7,21.3,20.19,22.41,5.96,96.04,kidneybeans
29.7,70.8,24.9,19.63,20.56,5.86,112.84,kidneybeans
26.4,69.7,24.1,17.25,22.73,5.83,99.24,kidneybeans
25.8,71.7,30.3,20.41,21.29,6.09,118.31,kidneybeans
23.9,71.0,23.1,20.25,22.28,6.07,117.58,kidneybeans
22.9,63.1,19.7,20.16,22.41,6.08,130.12,kidneybeans
25.0,67.2,19.8,18.92,22.31,6.14,100.59,kidneybeans
24.8,59.9,21.6,20.84,22.17,6.08,105.75,kidneybeans
25.0,62.8,24.2,20.13,22.07,5.91,72.7,kidneybeans
28.7,63.4,20.3,20.54,21.04,6.18,114.26,kidneybeans
27.3,60.4,25.5,19.89,21.07,6.02,78.36,kidneybeans
26.4,61.6,19.1,17.22,22.8,5.9,128.01,kidneybeans
23.2,59.3,19.7,21.35,21.32,5.91,107.4,kidneybeans
26.7,68.7,26.1,18.96,19.95,5.93,108.9,kidneybeans
21.8,61.8,23.4,19.43,21.54,5.87,101.54,kidneybeans
21.9,68.0,25.1,16.73,20.42,5.75,95.25,kidneybeans
24.7,60.2,20.2,17.99,21.74,6.01,94.17,kidneybeans
25.6,63.2,21.8,22.01,23.06,5.78,117.45,kidneybeans
27.7,61.2,24.5,21.81,20.19,5.85,120.26,kidneybeans
25.9,66.8,23.4,20.09,19.95,6.17,122.54,kidneybeans
24.2,64.9,18.7,20.27,22.17,5.99,121.87,kidneybeans
23.9,66.9,20.0,19.46,21.3,6.04,99.46,kidneybeans
24.6,67.8,21.4,17.09,23.54,6.23,85.62,kidneybeans
27.3,63.3,23.2,19.94,21.23,5.87,94.64,kidneybeans
21.9,62.2,22.3,18.43,22.3,6.25,96.3,kidneybeans
25.8,66.7,23.7,19.61,22.37,6.08,86.44,kidneybeans
27.9,68.0,20.6,19.56,22.3,5.97,121.09,kidneybeans
32.9,62.4,19.0,19.96,22.34,5.96,126.8,kidneybeans
20.5,67.3,21.0,22.08,23.82,5.87,96.76,kidneybeans
27.9,63.7,22.4,19.54,19.26,6.0,94.65,kidneybeans
23.4,69.8,19.4,20.72,21.17,5.95,116.86,kidneybeans
26.1,66.9,24.9,19.0,20.79,5.82,92.62,kidneybeans
34.8,69.1,19.1,17.52,22.06,6.09,113.23,kidneybeans
24.2,64.6,23.3,19.63,18.91,5.96,92.23,kidneybeans
25.6,75.0,23.4,19.03,22.58,6.08,111.3,kidneybeans
27.0,71.9,19.7,20.21,20.42,6.09,91.22,kidneybeans
23.6,64.0,24.9,20.88,20.05,6.01,94.36,kidneybeans
20.8,64.3,21.7,23.14,22.01,5.77,96.53,kidneybeans
28.4,72.0,18.5,16.68,23.68,6.06,91.98,kidneybeans
26.8,56.2,22.5,19.99,22.58,5.83,106.29,kidneybeans
21.9,65.9,20.3,18.89,20.34,6.11,117.88,kidneybeans
24.2,65.1,18.9,19.05,21.44,6.44,88.32,kidneybeans
29.9,68.3,23.2,22.14,21.93,6.06,104.2,kidneybeans
29.1,68.7,20.9,17.52,21.26,5.87,104.05,kidneybeans
29.1,63.5,22.4,19.59,22.49,5.63,95.9,kidneybeans
25.7,69.0,21.3,16.69,22.22,5.89,87.16,kidneybeans
22.9,64.4,21.0,16.19,22.55,6.21,114.77,kidneybeans
21.2,64.3,22.5,20.4,22.28,5.88,106.23,kidneybeans
26.5,69.9,24.3,20.68,21.6,6.24,111.15,kidneybeans
22.1,69.7,24.2,18.84,20.94,6.05,111.95,kidneybeans
25.7,66.0,26.7,21.11,21.72,6.16,89.51,kidneybeans
26.3,71.0,22.0,18.23,20.74,5.82,93.23,kidneybeans
23.8,60.3,22.5,20.85,20.44,6.25,112.66,kidneybeans
28.4,62.8,24.6,17.86,22.54,6.03,113.3,kidneybeans
21.1,62.0,24.0,18.08,22.04,5.77,117.72,kidneybeans
20.9,66.8,24.1,18.45,22.18,6.04,96.92,kidneybeans
21.6,58.5,23.4,17.15,21.61,5.96,115.19,kidneybeans
24.0,63.9,24.3,20.0,21.87,6.08,81.97,kidneybeans
27.5,67.0,20.0,19.13,21.45,5.98,110.01,kidneybeans
29.8,68.6,19.2,20.43,23.05,6.06,121.36,kidneybeans
31.7,68.4,23.1,21.07,21.67,6.0,99.73,kidneybeans
30.2,62.3,26.3,20.25,19.87,6.06,73.5,kidneybeans
27.1,68.0,21.0,19.69,23.78,5.92,89.12,kidneybeans
29.9,71.5,22.5,21.02,23.07,5.88,97.72,kidneybeans
29.1,70.6,23.9,18.18,23.82,5.91,99.97,kidneybeans
26.1,70.2,24.6,20.12,22.04,6.01,113.37,kidneybeans
16.6,64.0,23.1,17.77,21.95,5.97,131.33,kidneybeans
30.2,63.4,22.1,19.39,20.97,6.03,93.63,kidneybeans
21.2,67.1,24.1,18.29,22.54,5.89,108.8,kidneybeans
27.7,64.9,23.6,18.73,21.27,5.97,93.8,kidneybeans
24.4,59.8,21.3,19.07,21.2,5.96,104.07,kidneybeans
26.6,67.9,20.9,17.7,20.28,5.92,99.72,kidneybeans
22.4,60.7,21.4,19.77,22.19,5.91,98.81,kidneybeans
21.9,64.9,20.4,20.36,19.42,5.94,109.52,kidneybeans
25.6,74.0,23.4,28.66,52.1,5.81,148.39,pigeonpeas
22.2,68.1,21.1,30.73,49.85,6.68,143.58,pigeonpeas
31.1,67.7,23.7,31.86,54.14,5.77,144.42,pigeonpeas
27.8,64.8,19.0,30.88,59.6,6.56,148.76,pigeonpeas
28.2,63.8,18.2,28.84,59.01,6.18,145.13,pigeonpeas
24.0,71.3,26.6,36.18,51.84,6.32,119.67,pigeonpeas
29.9,61.1,23.0,28.44,50.05,6.04,137.84,pigeonpeas
23.2,63.2,24.6,28.42,53.42,6.55,139.74,pigeonpeas
22.6,64.2,25.4,31.45,50.29,6.37,127.95,pigeonpeas
27.3,66.4,21.7,29.04,48.81,6.38,174.58,pigeonpeas
22.9,66.5,17.3,29.64,52.37,6.02,131.27,pigeonpeas
22.8,66.0,22.0,25.78,43.66,6.1,159.15,pigeonpeas
15.8,63.3,21.2,34.24,50.9,6.35,152.83,pigeonpeas
17.9,67.6,23.0,32.19,68.86,5.73,184.49,pigeonpeas
24.0,66.0,22.4,30.01,50.13,6.33,119.66,pigeonpeas
27.5,63.6,19.7,29.95,57.74,6.12,157.17,pigeonpeas
22.6,67.5,24.2,35.31,51.77,6.42,151.96,pigeonpeas
29.3,62.6,24.4,30.55,52.23,6.27,155.04,pigeonpeas
24.6,65.7,26.4,33.3,56.12,6.14,132.22,pigeonpeas
28.2,67.9,26.2,29.59,51.54,5.84,142.15,pigeonpeas
28.3,63.4,24.1,30.56,53.85,5.96,151.7,pigeonpeas
15.0,64.4,18.4,33.81,55.74,6.37,180.42,pigeonpeas
21.8,70.8,24.8,30.45,57.23,5.97,133.51,pigeonpeas
23.0,63.2,19.9,33.85,51.42,6.34,138.59,pigeonpeas
18.9,65.9,17.7,30.84,46.8,6.75,168.23,pigeonpeas
25.4,69.2,20.4,32.27,53.33,6.32,175.45,pigeonpeas
