commodity,state,district,mandi,min_price,max_price,modal_price,arrival_date
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2382,3096,2756,2026-08-15
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2719,3114,2867,2026-08-16
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2669,3541,3055,2026-08-17
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2631,3397,2968,2026-08-18
Rice,Maharashtra,Pune,Pune APMC Mandi,2517,3444,2931,2026-08-19
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2902,3546,3290,2026-08-20
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2589,2970,2822,2026-08-21
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2421,2912,2687,2026-08-22
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2354,2838,2562,2026-08-23
Rice,Maharashtra,Pune,Pune APMC Mandi,2742,3111,2906,2026-08-24
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2473,3100,2624,2026-08-25
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2388,3133,2727,2026-08-26
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2573,3095,2850,2026-08-27
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2656,3662,3092,2026-08-28
Rice,Maharashtra,Pune,Pune APMC Mandi,2526,3150,2858,2026-08-01
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2744,3524,2975,2026-08-02
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2610,3034,2856,2026-08-03
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2491,3408,2877,2026-08-04
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2436,3077,2865,2026-08-05
Rice,Maharashtra,Pune,Pune APMC Mandi,2387,3044,2639,2026-08-06
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2333,2749,2533,2026-08-07
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2600,3424,2947,2026-08-08
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2761,3422,3015,2026-08-09
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2485,3196,2892,2026-08-10
Rice,Maharashtra,Pune,Pune APMC Mandi,2462,2883,2600,2026-08-11
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2457,2995,2617,2026-08-12
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2543,3149,2802,2026-08-13
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2717,3619,3125,2026-08-14
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2416,3054,2560,2026-08-15
Rice,Maharashtra,Pune,Pune APMC Mandi,2737,3214,2908,2026-08-16
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2750,3423,2906,2026-08-17
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2447,3082,2783,2026-08-18
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2339,3059,2699,2026-08-19
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2822,3452,2991,2026-08-20
Rice,Maharashtra,Pune,Pune APMC Mandi,2371,3118,2602,2026-08-21
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2448,3196,2834,2026-08-22
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2648,3327,2880,2026-08-23
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2591,3200,2925,2026-08-24
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2730,3460,2915,2026-08-25
Rice,Maharashtra,Pune,Pune APMC Mandi,2626,3280,2915,2026-08-26
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2693,3422,2927,2026-08-27
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2867,3361,3054,2026-08-28
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2383,2771,2626,2026-08-01
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2461,3106,2746,2026-08-02
Rice,Maharashtra,Pune,Pune APMC Mandi,2519,3117,2953,2026-08-03
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2272,2691,2438,2026-08-04
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2608,3045,2814,2026-08-05
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2333,2718,2558,2026-08-06
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2540,3219,2810,2026-08-07
Rice,Maharashtra,Pune,Pune APMC Mandi,2448,3175,2654,2026-08-08
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2180,2558,2346,2026-08-09
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2539,3016,2841,2026-08-10
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2595,3134,2913,2026-08-11
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2590,3254,2993,2026-08-12
Rice,Maharashtra,Pune,Pune APMC Mandi,2926,3488,3195,2026-08-13
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2732,3354,2890,2026-08-14
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2921,3560,3275,2026-08-15
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2684,3527,3031,2026-08-16
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2601,3086,2899,2026-08-17
Rice,Maharashtra,Pune,Pune APMC Mandi,2673,3332,2973,2026-08-18
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2440,3133,2743,2026-08-19
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2302,2663,2520,2026-08-20
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2810,3679,3122,2026-08-21
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2269,2662,2478,2026-08-22
Rice,Maharashtra,Pune,Pune APMC Mandi,2424,3236,2844,2026-08-23
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2515,3028,2665,2026-08-24
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2826,3570,3155,2026-08-25
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2381,2794,2522,2026-08-26
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2453,3142,2862,2026-08-27
Rice,Maharashtra,Pune,Pune APMC Mandi,2485,2802,2660,2026-08-28
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2298,3079,2667,2026-08-01
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2729,3533,2990,2026-08-02
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2618,3210,2982,2026-08-03
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2720,3443,2941,2026-08-04
Rice,Maharashtra,Pune,Pune APMC Mandi,2479,3260,2795,2026-08-05
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2498,3361,2826,2026-08-06
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2544,3199,2751,2026-08-07
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2620,3610,3046,2026-08-08
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2727,3661,3092,2026-08-09
Rice,Maharashtra,Pune,Pune APMC Mandi,2492,2948,2804,2026-08-10
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2714,3262,2872,2026-08-11
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2529,3094,2770,2026-08-12
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2361,2993,2574,2026-08-13
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2348,2953,2528,2026-08-14
Rice,Maharashtra,Pune,Pune APMC Mandi,2393,3167,2797,2026-08-15
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2323,3075,2599,2026-08-16
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2260,3044,2615,2026-08-17
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2487,2905,2728,2026-08-18
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2446,3348,2854,2026-08-19
Rice,Maharashtra,Pune,Pune APMC Mandi,2472,2853,2686,2026-08-20
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2304,2950,2475,2026-08-21
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2356,2888,2484,2026-08-22
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2448,2991,2639,2026-08-23
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2455,3263,2752,2026-08-24
Rice,Maharashtra,Pune,Pune APMC Mandi,2378,3131,2795,2026-08-25
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2203,2749,2575,2026-08-26
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2655,3266,2872,2026-08-27
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2473,2891,2614,2026-08-28
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2576,3528,2954,2026-08-01
Rice,Maharashtra,Pune,Pune APMC Mandi,2306,3239,2710,2026-08-02
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2443,3229,2850,2026-08-03
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2653,3161,2802,2026-08-04
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2798,3575,3125,2026-08-05
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2738,3572,3014,2026-08-06
Rice,Maharashtra,Pune,Pune APMC Mandi,2887,3547,3290,2026-08-07
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2346,2887,2618,2026-08-08
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2490,3149,2629,2026-08-09
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2605,3202,2833,2026-08-10
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2766,3236,3012,2026-08-11
Rice,Maharashtra,Pune,Pune APMC Mandi,2512,3132,2670,2026-08-12
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2361,2954,2504,2026-08-13
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2743,3383,3210,2026-08-14
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2906,3286,3064,2026-08-15
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2449,2982,2694,2026-08-16
Rice,Maharashtra,Pune,Pune APMC Mandi,2472,3026,2774,2026-08-17
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2632,3629,3077,2026-08-18
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2596,3337,2801,2026-08-19
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2627,3054,2810,2026-08-20
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2420,2920,2560,2026-08-21
Rice,Maharashtra,Pune,Pune APMC Mandi,2416,3185,2768,2026-08-22
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2115,2826,2456,2026-08-23
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2783,3597,3086,2026-08-24
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2773,3475,3064,2026-08-25
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2639,3126,2815,2026-08-26
Rice,Maharashtra,Pune,Pune APMC Mandi,2709,3185,2944,2026-08-27
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2682,3268,3106,2026-08-28
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2700,3388,3037,2026-08-01
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2262,2651,2406,2026-08-02
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2789,3585,3136,2026-08-03
Rice,Maharashtra,Pune,Pune APMC Mandi,2636,3357,2816,2026-08-04
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2166,2894,2418,2026-08-05
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2506,3063,2787,2026-08-06
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2149,2680,2507,2026-08-07
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2545,3164,2950,2026-08-08
Rice,Maharashtra,Pune,Pune APMC Mandi,2502,3175,2882,2026-08-09
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2432,2902,2589,2026-08-10
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2241,2723,2579,2026-08-11
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2524,3179,2912,2026-08-12
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2416,3066,2776,2026-08-13
Rice,Maharashtra,Pune,Pune APMC Mandi,2312,2962,2568,2026-08-14
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2477,3140,2643,2026-08-15
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2437,3107,2847,2026-08-16
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2550,3176,2937,2026-08-17
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2633,3333,2969,2026-08-18
Rice,Maharashtra,Pune,Pune APMC Mandi,2204,2858,2460,2026-08-19
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2651,3378,3106,2026-08-20
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2639,3309,2929,2026-08-21
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2469,3204,2869,2026-08-22
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2139,2700,2440,2026-08-23
Rice,Maharashtra,Pune,Pune APMC Mandi,2423,3124,2845,2026-08-24
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2288,3142,2655,2026-08-25
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2325,2945,2557,2026-08-26
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2402,3163,2798,2026-08-27
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2845,3637,3131,2026-08-28
Rice,Maharashtra,Pune,Pune APMC Mandi,2254,2835,2567,2026-08-01
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2521,3130,2757,2026-08-02
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2138,2667,2486,2026-08-03
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2559,3142,2926,2026-08-04
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2313,3159,2667,2026-08-05
Rice,Maharashtra,Pune,Pune APMC Mandi,2236,2941,2606,2026-08-06
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2463,3173,2860,2026-08-07
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2640,3289,2788,2026-08-08
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2315,3071,2670,2026-08-09
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2799,3365,2969,2026-08-10
Rice,Maharashtra,Pune,Pune APMC Mandi,2248,2615,2426,2026-08-11
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2577,3253,2921,2026-08-12
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2097,2779,2435,2026-08-13
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2469,3195,2810,2026-08-14
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2515,2945,2785,2026-08-15
Rice,Maharashtra,Pune,Pune APMC Mandi,2233,2705,2528,2026-08-16
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2648,3485,3025,2026-08-17
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2472,3042,2670,2026-08-18
Rice,Maharashtra,Solapur,Solapur APMC Mandi,1987,2671,2246,2026-08-19
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2445,3131,2621,2026-08-20
Rice,Maharashtra,Pune,Pune APMC Mandi,2721,3105,2883,2026-08-21
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2282,3093,2664,2026-08-22
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2644,3579,3061,2026-08-23
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2485,3068,2856,2026-08-24
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2646,3258,2888,2026-08-25
Rice,Maharashtra,Pune,Pune APMC Mandi,2396,3196,2705,2026-08-26
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2743,3395,3069,2026-08-27
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2427,2965,2708,2026-08-28
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2448,3322,2804,2026-08-01
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2820,3592,3175,2026-08-02
Rice,Maharashtra,Pune,Pune APMC Mandi,2457,3396,2852,2026-08-03
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2712,3269,2972,2026-08-04
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2622,3248,2875,2026-08-05
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2541,3161,2706,2026-08-06
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2359,3132,2697,2026-08-07
Rice,Maharashtra,Pune,Pune APMC Mandi,2226,2962,2609,2026-08-08
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2570,3410,2907,2026-08-09
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2474,3382,2874,2026-08-10
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2546,2937,2739,2026-08-11
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2252,2988,2580,2026-08-12
Rice,Maharashtra,Pune,Pune APMC Mandi,2752,3387,2994,2026-08-13
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2715,3419,3103,2026-08-14
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2151,2862,2401,2026-08-15
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2712,3567,3135,2026-08-16
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2851,3952,3347,2026-08-17
Rice,Maharashtra,Pune,Pune APMC Mandi,2667,3209,2828,2026-08-18
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2676,3118,2907,2026-08-19
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2586,3251,2850,2026-08-20
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2977,3751,3156,2026-08-21
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2403,2864,2685,2026-08-22
Rice,Maharashtra,Pune,Pune APMC Mandi,2556,3120,2812,2026-08-23
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2604,3350,3045,2026-08-24
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2325,3056,2573,2026-08-25
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2148,2676,2429,2026-08-26
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2376,3045,2724,2026-08-27
Rice,Maharashtra,Pune,Pune APMC Mandi,2741,3415,3173,2026-08-28
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2066,2424,2195,2026-08-01
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2530,3190,2787,2026-08-02
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2351,3285,2739,2026-08-03
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2297,2907,2552,2026-08-04
Rice,Maharashtra,Pune,Pune APMC Mandi,2441,3320,2803,2026-08-05
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2432,3013,2794,2026-08-06
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2530,2959,2792,2026-08-07
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2483,2993,2678,2026-08-08
Rice,Maharashtra,Nashik,Nashik APMC Mandi,1963,2501,2206,2026-08-09
Rice,Maharashtra,Pune,Pune APMC Mandi,2634,3279,3044,2026-08-10
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2271,2760,2484,2026-08-11
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2237,2817,2625,2026-08-12
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2565,3259,3009,2026-08-13
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2692,3549,3084,2026-08-14
Rice,Maharashtra,Pune,Pune APMC Mandi,2454,2911,2682,2026-08-15
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2501,3160,2909,2026-08-16
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2760,3283,2959,2026-08-17
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2657,3133,2899,2026-08-18
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2496,3116,2932,2026-08-19
Rice,Maharashtra,Pune,Pune APMC Mandi,2377,2877,2730,2026-08-20
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2563,3401,2873,2026-08-21
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2347,2774,2519,2026-08-22
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2401,2880,2642,2026-08-23
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2266,2760,2484,2026-08-24
Rice,Maharashtra,Pune,Pune APMC Mandi,2051,2781,2333,2026-08-25
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2945,3405,3180,2026-08-26
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2622,3265,2791,2026-08-27
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2719,3209,3047,2026-08-28
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2619,3122,2868,2026-08-01
Rice,Maharashtra,Pune,Pune APMC Mandi,2087,2839,2416,2026-08-02
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2431,3058,2804,2026-08-03
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2450,3415,2877,2026-08-04
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2494,3221,2843,2026-08-05
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2361,3030,2580,2026-08-06
Rice,Maharashtra,Pune,Pune APMC Mandi,2600,3284,2857,2026-08-07
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2619,3585,3020,2026-08-08
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2152,2523,2387,2026-08-09
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2177,2916,2513,2026-08-10
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2484,3148,2841,2026-08-11
Rice,Maharashtra,Pune,Pune APMC Mandi,2311,2901,2630,2026-08-12
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2340,2894,2581,2026-08-13
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2782,3614,3036,2026-08-14
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2224,2839,2607,2026-08-15
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2688,3126,2956,2026-08-16
Rice,Maharashtra,Pune,Pune APMC Mandi,2979,3931,3373,2026-08-17
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2390,2948,2778,2026-08-18
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2565,3113,2792,2026-08-19
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2795,3748,3196,2026-08-20
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2579,3348,2941,2026-08-21
Rice,Maharashtra,Pune,Pune APMC Mandi,2673,3209,3017,2026-08-22
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2417,3148,2783,2026-08-23
Rice,Maharashtra,Ahmednagar,Ahmednagar APMC Mandi,2754,3408,2939,2026-08-24
Rice,Maharashtra,Solapur,Solapur APMC Mandi,2688,3443,2925,2026-08-25
Rice,Maharashtra,Nashik,Nashik APMC Mandi,2661,3417,3042,2026-08-26
Rice,Maharashtra,Pune,Pune APMC Mandi,2513,3287,2896,2026-08-27
Rice,Maharashtra,Nagpur,Nagpur APMC Mandi,2679,3002,2846,2026-08-28
